,TownID,CountryName,Country,TownName,Town
116,1001005,嘉義,嘉義縣,民雄,民雄鄉
117,1001006,嘉義,嘉義縣,溪口,溪口鄉
118,1001007,嘉義,嘉義縣,新港,新港鄉
119,1001008,嘉義,嘉義縣,六腳,六腳鄉
120,1001009,嘉義,嘉義縣,東石,東石鄉
121,1001010,嘉義,嘉義縣,義竹,義竹鄉
122,1001011,嘉義,嘉義縣,鹿草,鹿草鄉
123,1001012,嘉義,嘉義縣,水上,水上鄉
124,1001013,嘉義,嘉義縣,中埔,中埔鄉
125,1001014,嘉義,嘉義縣,竹崎,竹崎鄉
126,1001015,嘉義,嘉義縣,梅山,梅山鄉
127,1001016,嘉義,嘉義縣,番路,番路鄉
128,1001017,嘉義,嘉義縣,大埔,大埔鄉
129,1001018,嘉義,嘉義縣,阿里山,阿里山鄉
130,1001301,屏東,屏東縣,屏東,屏東市
131,1001302,屏東,屏東縣,潮州,潮州鎮
132,1001303,屏東,屏東縣,東港,東港鎮
133,1001304,屏東,屏東縣,恆春,恆春鎮
134,1001305,屏東,屏東縣,萬丹,萬丹鄉
135,1001306,屏東,屏東縣,長治,長治鄉
136,1001307,屏東,屏東縣,麟洛,麟洛鄉
137,1001308,屏東,屏東縣,九如,九如鄉
138,1001309,屏東,屏東縣,里港,里港鄉
139,1001310,屏東,屏東縣,鹽埔,鹽埔鄉
140,1001311,屏東,屏東縣,高樹,高樹鄉
141,1001312,屏東,屏東縣,萬巒,萬巒鄉
142,1001313,屏東,屏東縣,內埔,內埔鄉
143,1001314,屏東,屏東縣,竹田,竹田鄉
144,1001315,屏東,屏東縣,新埤,新埤鄉
145,1001316,屏東,屏東縣,枋寮,枋寮鄉
146,1001317,屏東,屏東縣,新園,新園鄉
147,1001318,屏東,屏東縣,崁頂,崁頂鄉
148,1001319,屏東,屏東縣,林邊,林邊鄉
149,1001320,屏東,屏東縣,南州,南州鄉
150,1001321,屏東,屏東縣,佳冬,佳冬鄉
151,1001322,屏東,屏東縣,琉球,琉球鄉
152,1001323,屏東,屏東縣,車城,車城鄉
153,1001324,屏東,屏東縣,滿州,滿州鄉
154,1001325,屏東,屏東縣,枋山,枋山鄉
155,1001326,屏東,屏東縣,三地門,三地門鄉
156,1001327,屏東,屏東縣,霧臺,霧臺鄉
157,1001328,屏東,屏東縣,瑪家,瑪家鄉
158,1001329,屏東,屏東縣,泰武,泰武鄉
159,1001330,屏東,屏東縣,來義,來義鄉
160,1001331,屏東,屏東縣,春日,春日鄉
161,1001332,屏東,屏東縣,獅子,獅子鄉
162,1001333,屏東,屏東縣,牡丹,牡丹鄉
