,TownID,Postal,CountryName,Country,TownName,Town
303,6601500,421,臺中,臺中市,后里,后里區
308,6602000,422,臺中,臺中市,石岡,石岡區
298,6601000,423,臺中,臺中市,東勢,東勢區
317,6602900,424,臺中,臺中市,和平,和平區
307,6601900,426,臺中,臺中市,新社,新社區
305,6601700,427,臺中,臺中市,潭子,潭子區
306,6601800,428,臺中,臺中市,大雅,大雅區
304,6601600,429,臺中,臺中市,神岡,神岡區
312,6602400,432,臺中,臺中市,大肚,大肚區
301,6601300,433,臺中,臺中市,沙鹿,沙鹿區
313,6602500,434,臺中,臺中市,龍井,龍井區
302,6601400,435,臺中,臺中市,梧棲,梧棲區
300,6601200,436,臺中,臺中市,清水,清水區
299,6601100,437,臺中,臺中市,大甲,大甲區
309,6602100,438,臺中,臺中市,外埔,外埔區
310,6602200,439,臺中,臺中市,大安,大安區
212,6300300,439,臺北,臺北市,大安,大安區
53,1000701,500,彰化,彰化縣,彰化,彰化市
61,1000709,502,彰化,彰化縣,芬園,芬園鄉
60,1000708,503,彰化,彰化縣,花壇,花壇鄉
59,1000707,504,彰化,彰化縣,秀水,秀水鄉
54,1000702,505,彰化,彰化縣,鹿港,鹿港鎮
58,1000706,506,彰化,彰化縣,福興,福興鄉
56,1000704,507,彰化,彰化縣,線西,線西鄉
55,1000703,508,彰化,彰化縣,和美,和美鎮
57,1000705,509,彰化,彰化縣,伸港,伸港鄉
62,1000710,510,彰化,彰化縣,員林,員林市
69,1000717,511,彰化,彰化縣,社頭,社頭鄉
68,1000716,512,彰化,彰化縣,永靖,永靖鄉
67,1000715,513,彰化,彰化縣,埔心,埔心鄉
63,1000711,514,彰化,彰化縣,溪湖,溪湖鎮
65,1000713,515,彰化,彰化縣,大村,大村鄉
66,1000714,516,彰化,彰化縣,埔鹽,埔鹽鄉
64,1000712,520,彰化,彰化縣,田中,田中鎮
71,1000719,521,彰化,彰化縣,北斗,北斗鎮
73,1000721,522,彰化,彰化縣,田尾,田尾鄉
74,1000722,523,彰化,彰化縣,埤頭,埤頭鄉
78,1000726,524,彰化,彰化縣,溪州,溪州鄉
77,1000725,525,彰化,彰化縣,竹塘,竹塘鄉
72,1000720,526,彰化,彰化縣,二林,二林鎮
76,1000724,527,彰化,彰化縣,大城,大城鄉
75,1000723,528,彰化,彰化縣,芳苑,芳苑鄉
70,1000718,530,彰化,彰化縣,二水,二水鄉
79,1000801,540,南投,南投縣,南投,南投市
86,1000808,541,南投,南投縣,中寮,中寮鄉
81,1000803,542,南投,南投縣,草屯,草屯鎮
88,1000810,544,南投,南投縣,國姓,國姓鄉
80,1000802,545,南投,南投縣,埔里,埔里鎮
91,1000813,546,南投,南投縣,仁愛,仁愛鄉
84,1000806,551,南投,南投縣,名間,名間鄉
83,1000805,552,南投,南投縣,集集,集集鎮
89,1000811,553,南投,南投縣,水里,水里鄉
87,1000809,555,南投,南投縣,魚池,魚池鄉
90,1000812,556,南投,南投縣,信義,信義鄉
82,1000804,557,南投,南投縣,竹山,竹山鎮
85,1000807,558,南投,南投縣,鹿谷,鹿谷鄉
292,6600400,600,臺中,臺中市,西,西區
209,1002002,600,嘉義,嘉義市,西,西區
127,1001016,602,嘉義,嘉義縣,番路,番路鄉
126,1001015,603,嘉義,嘉義縣,梅山,梅山鄉
125,1001014,604,嘉義,嘉義縣,竹崎,竹崎鄉
129,1001018,605,嘉義,嘉義縣,阿里山,阿里山鄉
124,1001013,606,嘉義,嘉義縣,中埔,中埔鄉
128,1001017,607,嘉義,嘉義縣,大埔,大埔鄉
123,1001012,608,嘉義,嘉義縣,水上,水上鄉
122,1001011,611,嘉義,嘉義縣,鹿草,鹿草鄉
112,1001001,612,嘉義,嘉義縣,太保,太保市
113,1001002,613,嘉義,嘉義縣,朴子,朴子市
120,1001009,614,嘉義,嘉義縣,東石,東石鄉
119,1001008,615,嘉義,嘉義縣,六腳,六腳鄉
118,1001007,616,嘉義,嘉義縣,新港,新港鄉
116,1001005,621,嘉義,嘉義縣,民雄,民雄鄉
115,1001004,622,嘉義,嘉義縣,大林,大林鎮
117,1001006,623,嘉義,嘉義縣,溪口,溪口鄉
